Epoch,Training loss,Validation loss,Validation accuracy
1,0.4009515747623357,0.3415202528834343,0.8575
2,0.4200840004888803,0.35582896679639814,0.8675
3,0.4083518650418158,0.35350271028280256,0.8605
4,0.4104173854151893,0.3328108946084976,0.859
5,0.39083002737831557,0.31244344997406004,0.8695
6,0.37100387587941547,0.3032878310680389,0.886
7,0.3334812395107383,0.27045387610793115,0.894
8,0.3071296786842033,0.25967449897527695,0.8995
9,0.28615403452084315,0.256013036608696,0.9045
10,0.26857981917342066,0.24790537010133268,0.9115
