Epoch,Training loss,Validation loss,Validation accuracy
1,0.43950586594724095,0.41834040999412536,0.8365
2,0.511155736652697,0.46172320675849915,0.799
3,0.5708534934994683,0.5339080989360809,0.7665
4,0.5845165488284834,0.6103331779241562,0.6975
5,0.5726980170872851,0.5744019944667816,0.7045
6,0.5993613108526723,0.5596462535858154,0.714
7,0.5848694589620019,0.5592609648704528,0.7065
8,0.57564785377788,0.5576135056018829,0.72
9,0.5679518732528926,0.5636486687660217,0.7225
10,0.5560188130538216,0.554555319070816,0.7305
