Epoch,Training loss,Validation loss,Validation accuracy
1,0.3468254787307581,0.2674494185447693,0.9025
2,0.28660726104600404,0.24077124893665314,0.916
3,0.26013950048198,0.20878356513381005,0.9275
4,0.23758668109450112,0.2305456995740533,0.932
5,0.21891953440989023,0.2014284529685974,0.935
6,0.1992896805884509,0.19552016282081605,0.9405
7,0.18543706196902418,0.22125430681556463,0.938
8,0.1701984549981815,0.2143920356053859,0.943
9,0.15917836833971927,0.2097914601173252,0.94
10,0.14653359835081234,0.19940225168410688,0.943
