Epoch,Training loss,Validation loss,Validation accuracy
1,0.3449613435822702,0.2666055738925934,0.908
2,0.28646137892634876,0.2741077799722552,0.9035
3,0.25821290264088625,0.23390454728901386,0.928
4,0.24148318197722532,0.224581145118922,0.936
5,0.2247757664498067,0.2436707065999508,0.935
6,0.20773871714713937,0.2263925446588546,0.94
7,0.18989024951194486,0.18604152770340443,0.9435
8,0.17499482297644825,0.20057660886645318,0.9395
9,0.16193087524219743,0.21272318274434657,0.946
10,0.14980959678225453,0.20981109748780727,0.941
