Epoch,Training loss,Validation loss
1,0.3675327324937161,0.2519763628542423,0.908
2,0.3341052352859479,0.279770745575428,0.893
3,0.3174274026281323,0.28819809207320213,0.9055
4,0.29147903472182857,0.23542346958816052,0.919
5,0.28268391405656934,0.2403750864714384,0.922
6,0.2642094238575108,0.24985540263354777,0.9195
7,0.24970024485936787,0.22628306087106467,0.9265
8,0.23238093126295864,0.21182408034056424,0.933
9,0.21430109506455416,0.20540687810629607,0.939
10,0.20002930308450237,0.2107355331555009,0.941
