Epoch,Training loss,Validation loss,Validation accuracy
1,0.3453720836852589,0.255704893052578,0.9085
2,0.28875165524870405,0.2286073358207941,0.922
3,0.26560792348589496,0.2446079204380512,0.9215
4,0.24372174215472353,0.20867597410827876,0.928
5,0.2272711622207688,0.20150790674239397,0.935
6,0.2111125846383815,0.20061836905777455,0.9355
7,0.19745768513389403,0.20097661712951959,0.941
8,0.18377297499923784,0.18730886064097285,0.9465
9,0.17059941166203027,0.17741233399882914,0.9485
10,0.1615453352621665,0.19480705911759288,0.9485
