Epoch,Training loss,Validation loss,Validation accuracy
1,0.5278755432203238,0.6882768836021423,0.5505
2,0.6908138658572113,0.6884369230270386,0.5505
3,0.6900840895066738,0.7142677829265595,0.5505
4,0.6923929060548355,0.6881168642044068,0.5505
5,0.6937997208117498,0.691436999797821,0.5505
6,0.6920690851209067,0.6880435719490051,0.5505
7,0.6905553740100359,0.6910014758110047,0.5505
8,0.6894670823886054,0.688155560016632,0.5505
9,0.6878457678112452,0.6882938261032104,0.5505
10,0.6871982064140817,0.6892496752738952,0.5505
